self,3,3,1,3,2,3,3,4,3,4,2,2,3,4,3
3,self,4,5,3,5,5,2,4,4,4,3,3,3,3,2
3,4,self,5,3,5,5,3,4,2,3,3,3,3,3,3
1,5,5,self,1,3,1,3,3,3,4,2,2,3,3,2
3,3,3,1,self,3,1,3,5,3,4,3,3,3,3,3
2,5,5,3,3,self,3,3,5,3,3,1,1,4,3,3
3,5,5,1,1,3,self,3,3,3,3,3,3,3,3,3
3,2,3,3,3,3,3,self,4,3,4,3,2,4,1,1
4,4,4,3,5,5,3,4,self,5,5,3,2,2,2,3
3,4,2,3,3,3,3,3,5,self,1,4,4,3,5,3
4,4,3,4,4,3,3,4,5,1,self,3,4,3,1,3
2,3,3,2,3,1,3,3,3,4,3,self,2,3,2,3
2,3,3,2,3,1,3,2,2,4,4,2,self,4,1,1
3,3,3,3,3,4,3,4,2,3,3,3,4,self,3,3
4,3,3,3,3,3,3,1,2,5,1,2,1,3,self,2
3,2,3,2,3,3,3,1,3,3,3,3,1,3,2,self
